datum,sat,minut,restoran,broj_gostiju,jelo,status,ocena,termin,dan_u_nedelji,mesec
2026-06-10,12,0,Rustika,6,Pileći medaljoni,completed,5,2026-06-10 12:00:00,Wednesday,June
2026-07-23,21,30,Sonic Restaurant,1,Pileći medaljoni,cancelled,4,2026-07-23 21:30:00,Thursday,July
2026-02-27,18,0,Stara Srpska Kuća,2,Šopska salata,confirmed,3,2026-02-27 18:00:00,Friday,February
2026-01-22,21,0,Trpeza Balkana,4,Punjene pečurke,cancelled,4,2026-01-22 21:00:00,Thursday,January
2026-03-30,21,30,Stara Srpska Kuća,6,Rižoto sa plodovima mora,confirmed,3,2026-03-30 21:30:00,Monday,March
2026-02-18,18,0,Stara Srpska Kuća,4,Grilovani list,confirmed,4,2026-02-18 18:00:00,Wednesday,February
2026-02-28,20,30,Sonic Restaurant,5,Šopska salata,confirmed,4,2026-02-28 20:30:00,Saturday,February
2026-06-19,19,0,Stara Srpska Kuća,6,Punjene pečurke,cancelled,4,2026-06-19 19:00:00,Friday,June
2026-07-07,20,30,Stara Srpska Kuća,2,Karađorđeva šnicla,cancelled,4,2026-07-07 20:30:00,Tuesday,July
2026-07-27,12,30,Stara Srpska Kuća,1,Palačinke,cancelled,4,2026-07-27 12:30:00,Monday,July
2026-01-15,13,30,Sonic Restaurant,5,Karađorđeva šnicla,cancelled,5,2026-01-15 13:30:00,Thursday,January
2026-07-09,19,0,Stara Srpska Kuća,2,Karađorđeva šnicla,completed,3,2026-07-09 19:00:00,Thursday,July
2026-07-09,21,0,Trpeza Balkana,1,Karađorđeva šnicla,cancelled,4,2026-07-09 21:00:00,Thursday,July
2026-06-24,20,30,Stara Srpska Kuća,4,Palačinke,cancelled,5,2026-06-24 20:30:00,Wednesday,June
2026-07-09,13,0,Villa Nova,6,Pileći medaljoni,completed,3,2026-07-09 13:00:00,Thursday,July
2026-02-20,19,30,Rustika,6,Šopska salata,confirmed,4,2026-02-20 19:30:00,Friday,February
2026-04-18,19,30,Sonic Restaurant,2,Grilovani list,completed,5,2026-04-18 19:30:00,Saturday,April
2026-02-24,12,0,Trpeza Balkana,4,Pileći medaljoni,cancelled,3,2026-02-24 12:00:00,Tuesday,February
2026-03-05,19,30,Rustika,4,Rižoto sa plodovima mora,cancelled,5,2026-03-05 19:30:00,Thursday,March
2026-05-11,21,0,Villa Nova,6,Baklava,cancelled,4,2026-05-11 21:00:00,Monday,May
2026-02-20,12,30,Zlatna Ribica,2,Karađorđeva šnicla,cancelled,5,2026-02-20 12:30:00,Friday,February
2026-05-15,19,0,Stara Srpska Kuća,5,Grilovani list,completed,4,2026-05-15 19:00:00,Friday,May
2026-01-21,12,30,Zlatna Ribica,4,Karađorđeva šnicla,completed,4,2026-01-21 12:30:00,Wednesday,January
2026-03-14,13,30,Zlatna Ribica,2,Baklava,completed,3,2026-03-14 13:30:00,Saturday,March
2026-06-16,12,0,Zlatna Ribica,2,Pileći medaljoni,confirmed,5,2026-06-16 12:00:00,Tuesday,June
2026-01-18,19,30,Sonic Restaurant,5,Rižoto sa plodovima mora,completed,5,2026-01-18 19:30:00,Sunday,January
2026-05-12,13,30,Rustika,3,Rižoto sa plodovima mora,completed,5,2026-05-12 13:30:00,Tuesday,May
2026-03-30,20,0,Villa Nova,4,Domaći sok,cancelled,5,2026-03-30 20:00:00,Monday,March
2026-03-01,19,30,Stara Srpska Kuća,4,Baklava,confirmed,4,2026-03-01 19:30:00,Sunday,March
2026-01-14,21,0,Stara Srpska Kuća,1,Punjene pečurke,confirmed,3,2026-01-14 21:00:00,Wednesday,January
2026-01-09,20,30,Stara Srpska Kuća,5,Grilovani list,confirmed,5,2026-01-09 20:30:00,Friday,January
2026-03-31,13,0,Rustika,2,Karađorđeva šnicla,completed,4,2026-03-31 13:00:00,Tuesday,March
2026-02-22,18,30,Trpeza Balkana,6,Tiramisu,confirmed,5,2026-02-22 18:30:00,Sunday,February
2026-05-10,20,30,Zlatna Ribica,1,Rižoto sa plodovima mora,confirmed,4,2026-05-10 20:30:00,Sunday,May
2026-03-25,19,30,Sonic Restaurant,2,Grilovani list,confirmed,5,2026-03-25 19:30:00,Wednesday,March
2026-04-02,20,0,Zlatna Ribica,4,Pileći medaljoni,completed,4,2026-04-02 20:00:00,Thursday,April
2026-04-21,20,0,Sonic Restaurant,1,Palačinke,confirmed,4,2026-04-21 20:00:00,Tuesday,April
2026-07-07,19,0,Sonic Restaurant,2,Rižoto sa plodovima mora,confirmed,3,2026-07-07 19:00:00,Tuesday,July
2026-07-18,21,0,Trpeza Balkana,5,Pršuta i sir,confirmed,4,2026-07-18 21:00:00,Saturday,July
2026-06-21,12,30,Villa Nova,3,Baklava,confirmed,5,2026-06-21 12:30:00,Sunday,June
2026-01-08,21,30,Villa Nova,6,Rižoto sa plodovima mora,completed,4,2026-01-08 21:30:00,Thursday,January
2026-06-24,20,0,Villa Nova,4,Grilovani list,confirmed,4,2026-06-24 20:00:00,Wednesday,June
2026-02-04,13,0,Sonic Restaurant,1,Kafa,cancelled,5,2026-02-04 13:00:00,Wednesday,February
2026-07-25,13,0,Sonic Restaurant,4,Tiramisu,confirmed,4,2026-07-25 13:00:00,Saturday,July
2026-03-22,19,30,Trpeza Balkana,4,Baklava,confirmed,5,2026-03-22 19:30:00,Sunday,March
2026-06-13,21,0,Villa Nova,4,Punjene pečurke,confirmed,5,2026-06-13 21:00:00,Saturday,June
2026-02-19,13,0,Stara Srpska Kuća,5,Grilovani list,confirmed,4,2026-02-19 13:00:00,Thursday,February
2026-04-14,20,30,Sonic Restaurant,4,Palačinke,confirmed,3,2026-04-14 20:30:00,Tuesday,April
2026-05-12,19,30,Stara Srpska Kuća,3,Grilovani list,confirmed,5,2026-05-12 19:30:00,Tuesday,May
2026-01-02,18,0,Zlatna Ribica,2,Baklava,completed,4,2026-01-02 18:00:00,Friday,January
2026-05-14,13,30,Sonic Restaurant,2,Palačinke,completed,3,2026-05-14 13:30:00,Thursday,May
2026-02-23,20,0,Sonic Restaurant,3,Pršuta i sir,completed,4,2026-02-23 20:00:00,Monday,February
2026-04-16,20,30,Stara Srpska Kuća,2,Baklava,completed,4,2026-04-16 20:30:00,Thursday,April
2026-01-04,21,0,Sonic Restaurant,2,Baklava,confirmed,4,2026-01-04 21:00:00,Sunday,January
2026-02-23,12,0,Rustika,4,Karađorđeva šnicla,cancelled,5,2026-02-23 12:00:00,Monday,February
2026-07-10,20,0,Stara Srpska Kuća,2,Punjene pečurke,confirmed,5,2026-07-10 20:00:00,Friday,July
2026-05-26,18,0,Trpeza Balkana,1,Karađorđeva šnicla,completed,5,2026-05-26 18:00:00,Tuesday,May
2026-02-13,13,30,Zlatna Ribica,3,Pileći medaljoni,confirmed,4,2026-02-13 13:30:00,Friday,February
2026-06-11,19,30,Rustika,1,Karađorđeva šnicla,cancelled,5,2026-06-11 19:30:00,Thursday,June
2026-07-21,19,30,Stara Srpska Kuća,1,Rižoto sa plodovima mora,completed,4,2026-07-21 19:30:00,Tuesday,July
2026-07-09,12,30,Villa Nova,1,Baklava,confirmed,4,2026-07-09 12:30:00,Thursday,July
2026-01-14,20,0,Zlatna Ribica,4,Vino kuće,completed,3,2026-01-14 20:00:00,Wednesday,January
2026-04-05,19,0,Villa Nova,6,Grilovani list,confirmed,4,2026-04-05 19:00:00,Sunday,April
2026-02-17,12,30,Rustika,1,Pileći medaljoni,completed,5,2026-02-17 12:30:00,Tuesday,February
2026-01-15,18,30,Stara Srpska Kuća,3,Pileći medaljoni,completed,3,2026-01-15 18:30:00,Thursday,January
2026-07-19,21,30,Stara Srpska Kuća,6,Tiramisu,confirmed,3,2026-07-19 21:30:00,Sunday,July
2026-07-25,19,30,Stara Srpska Kuća,6,Pileći medaljoni,confirmed,4,2026-07-25 19:30:00,Saturday,July
2026-07-09,13,30,Zlatna Ribica,1,Punjene pečurke,confirmed,4,2026-07-09 13:30:00,Thursday,July
2026-02-09,12,0,Stara Srpska Kuća,5,Tiramisu,completed,4,2026-02-09 12:00:00,Monday,February
2026-07-27,13,0,Stara Srpska Kuća,1,Rižoto sa plodovima mora,confirmed,5,2026-07-27 13:00:00,Monday,July
2026-03-23,12,0,Sonic Restaurant,5,Palačinke,completed,3,2026-03-23 12:00:00,Monday,March
2026-04-21,19,30,Stara Srpska Kuća,1,Palačinke,cancelled,4,2026-04-21 19:30:00,Tuesday,April
2026-02-22,12,30,Stara Srpska Kuća,3,Tiramisu,confirmed,5,2026-02-22 12:30:00,Sunday,February
2026-01-24,12,30,Sonic Restaurant,5,Grilovani list,cancelled,4,2026-01-24 12:30:00,Saturday,January
2026-06-03,20,30,Stara Srpska Kuća,4,Rižoto sa plodovima mora,completed,4,2026-06-03 20:30:00,Wednesday,June
2026-07-07,18,0,Sonic Restaurant,6,Palačinke,confirmed,4,2026-07-07 18:00:00,Tuesday,July
2026-05-04,12,0,Sonic Restaurant,1,Rižoto sa plodovima mora,confirmed,5,2026-05-04 12:00:00,Monday,May
2026-02-10,21,30,Sonic Restaurant,6,Pršuta i sir,completed,5,2026-02-10 21:30:00,Tuesday,February
2026-06-06,20,0,Rustika,1,Karađorđeva šnicla,confirmed,3,2026-06-06 20:00:00,Saturday,June
2026-01-15,20,0,Zlatna Ribica,2,Karađorđeva šnicla,confirmed,3,2026-01-15 20:00:00,Thursday,January
2026-02-14,12,30,Sonic Restaurant,1,Rižoto sa plodovima mora,confirmed,4,2026-02-14 12:30:00,Saturday,February
2026-03-06,21,30,Sonic Restaurant,2,Pršuta i sir,completed,4,2026-03-06 21:30:00,Friday,March
2026-03-30,13,30,Rustika,2,Rižoto sa plodovima mora,completed,4,2026-03-30 13:30:00,Monday,March
2026-03-12,13,30,Rustika,2,Pršuta i sir,completed,5,2026-03-12 13:30:00,Thursday,March
2026-01-09,19,30,Rustika,6,Pileći medaljoni,confirmed,4,2026-01-09 19:30:00,Friday,January
2026-03-29,20,30,Trpeza Balkana,5,Punjene pečurke,completed,3,2026-03-29 20:30:00,Sunday,March
2026-05-09,13,0,Stara Srpska Kuća,1,Pršuta i sir,cancelled,4,2026-05-09 13:00:00,Saturday,May
2026-05-16,12,0,Stara Srpska Kuća,2,Rižoto sa plodovima mora,confirmed,4,2026-05-16 12:00:00,Saturday,May
2026-03-04,19,30,Stara Srpska Kuća,1,Rižoto sa plodovima mora,confirmed,5,2026-03-04 19:30:00,Wednesday,March
2026-05-19,19,0,Villa Nova,1,Karađorđeva šnicla,cancelled,4,2026-05-19 19:00:00,Tuesday,May
2026-03-22,13,30,Trpeza Balkana,2,Pileći medaljoni,completed,4,2026-03-22 13:30:00,Sunday,March
2026-05-16,19,30,Trpeza Balkana,2,Pršuta i sir,completed,3,2026-05-16 19:30:00,Saturday,May
2026-06-12,21,30,Sonic Restaurant,2,Pileći medaljoni,cancelled,5,2026-06-12 21:30:00,Friday,June
2026-06-12,19,30,Rustika,6,Rižoto sa plodovima mora,completed,3,2026-06-12 19:30:00,Friday,June
2026-02-02,21,0,Stara Srpska Kuća,2,Šopska salata,confirmed,4,2026-02-02 21:00:00,Monday,February
2026-05-03,18,30,Stara Srpska Kuća,2,Karađorđeva šnicla,completed,5,2026-05-03 18:30:00,Sunday,May
2026-01-05,13,0,Sonic Restaurant,1,Palačinke,completed,4,2026-01-05 13:00:00,Monday,January
2026-02-10,20,30,Zlatna Ribica,2,Karađorđeva šnicla,cancelled,4,2026-02-10 20:30:00,Tuesday,February
2026-01-28,21,30,Sonic Restaurant,3,Domaći sok,confirmed,5,2026-01-28 21:30:00,Wednesday,January
2026-05-15,12,30,Rustika,1,Pileći medaljoni,completed,3,2026-05-15 12:30:00,Friday,May
2026-07-20,20,0,Stara Srpska Kuća,4,Rižoto sa plodovima mora,completed,3,2026-07-20 20:00:00,Monday,July
2026-03-13,19,30,Zlatna Ribica,2,Grilovani list,confirmed,4,2026-03-13 19:30:00,Friday,March
2026-01-12,12,30,Zlatna Ribica,4,Karađorđeva šnicla,confirmed,3,2026-01-12 12:30:00,Monday,January
2026-06-11,13,30,Sonic Restaurant,5,Grilovani list,cancelled,4,2026-06-11 13:30:00,Thursday,June
2026-02-02,20,0,Rustika,4,Karađorđeva šnicla,confirmed,4,2026-02-02 20:00:00,Monday,February
2026-02-17,20,0,Trpeza Balkana,2,Punjene pečurke,completed,4,2026-02-17 20:00:00,Tuesday,February
2026-05-31,19,0,Trpeza Balkana,1,Grilovani list,completed,4,2026-05-31 19:00:00,Sunday,May
2026-03-03,13,30,Rustika,5,Šopska salata,confirmed,5,2026-03-03 13:30:00,Tuesday,March
2026-02-06,19,0,Trpeza Balkana,5,Karađorđeva šnicla,cancelled,4,2026-02-06 19:00:00,Friday,February
2026-04-09,13,30,Stara Srpska Kuća,6,Palačinke,completed,5,2026-04-09 13:30:00,Thursday,April
2026-06-21,20,0,Trpeza Balkana,4,Pileći medaljoni,confirmed,3,2026-06-21 20:00:00,Sunday,June
2026-04-14,18,0,Sonic Restaurant,1,Karađorđeva šnicla,confirmed,5,2026-04-14 18:00:00,Tuesday,April
2026-02-04,13,30,Stara Srpska Kuća,6,Rižoto sa plodovima mora,cancelled,5,2026-02-04 13:30:00,Wednesday,February
2026-07-12,12,0,Stara Srpska Kuća,2,Karađorđeva šnicla,confirmed,4,2026-07-12 12:00:00,Sunday,July
2026-04-11,21,30,Trpeza Balkana,4,Karađorđeva šnicla,confirmed,5,2026-04-11 21:30:00,Saturday,April
2026-06-24,12,30,Trpeza Balkana,6,Pileći medaljoni,confirmed,5,2026-06-24 12:30:00,Wednesday,June
2026-07-25,13,0,Stara Srpska Kuća,2,Punjene pečurke,confirmed,4,2026-07-25 13:00:00,Saturday,July
2026-05-11,12,30,Trpeza Balkana,3,Palačinke,completed,4,2026-05-11 12:30:00,Monday,May
2026-01-01,13,30,Rustika,3,Pileći medaljoni,cancelled,4,2026-01-01 13:30:00,Thursday,January
2026-01-05,12,0,Stara Srpska Kuća,4,Domaći sok,cancelled,4,2026-01-05 12:00:00,Monday,January
2026-05-22,20,0,Stara Srpska Kuća,2,Tiramisu,confirmed,4,2026-05-22 20:00:00,Friday,May
2026-04-13,20,30,Trpeza Balkana,2,Palačinke,confirmed,3,2026-04-13 20:30:00,Monday,April
2026-01-27,12,0,Stara Srpska Kuća,4,Pileći medaljoni,completed,5,2026-01-27 12:00:00,Tuesday,January
2026-05-17,20,30,Zlatna Ribica,6,Karađorđeva šnicla,confirmed,4,2026-05-17 20:30:00,Sunday,May
2026-07-26,19,30,Stara Srpska Kuća,2,Karađorđeva šnicla,completed,5,2026-07-26 19:30:00,Sunday,July
2026-01-15,12,0,Sonic Restaurant,2,Pršuta i sir,cancelled,4,2026-01-15 12:00:00,Thursday,January
2026-03-31,13,0,Trpeza Balkana,4,Rižoto sa plodovima mora,cancelled,5,2026-03-31 13:00:00,Tuesday,March
2026-02-11,12,0,Trpeza Balkana,4,Karađorđeva šnicla,confirmed,4,2026-02-11 12:00:00,Wednesday,February
2026-05-04,19,0,Rustika,4,Pileći medaljoni,completed,5,2026-05-04 19:00:00,Monday,May
2026-07-24,13,30,Rustika,1,Karađorđeva šnicla,confirmed,5,2026-07-24 13:30:00,Friday,July
2026-06-28,13,30,Trpeza Balkana,2,Šopska salata,confirmed,3,2026-06-28 13:30:00,Sunday,June
2026-03-04,13,0,Trpeza Balkana,6,Karađorđeva šnicla,completed,4,2026-03-04 13:00:00,Wednesday,March
2026-04-06,20,0,Stara Srpska Kuća,4,Pršuta i sir,cancelled,5,2026-04-06 20:00:00,Monday,April
2026-02-21,19,30,Zlatna Ribica,4,Baklava,completed,4,2026-02-21 19:30:00,Saturday,February
2026-04-06,20,30,Stara Srpska Kuća,3,Karađorđeva šnicla,cancelled,3,2026-04-06 20:30:00,Monday,April
2026-05-12,18,30,Rustika,2,Pileći medaljoni,cancelled,3,2026-05-12 18:30:00,Tuesday,May
2026-05-31,12,30,Sonic Restaurant,3,Šopska salata,confirmed,4,2026-05-31 12:30:00,Sunday,May
2026-05-23,20,0,Zlatna Ribica,1,Grilovani list,completed,4,2026-05-23 20:00:00,Saturday,May
2026-06-20,18,30,Stara Srpska Kuća,2,Karađorđeva šnicla,confirmed,4,2026-06-20 18:30:00,Saturday,June
2026-01-29,12,30,Trpeza Balkana,2,Rižoto sa plodovima mora,confirmed,5,2026-01-29 12:30:00,Thursday,January
2026-02-05,13,0,Rustika,3,Pileći medaljoni,completed,4,2026-02-05 13:00:00,Thursday,February
2026-01-13,20,30,Sonic Restaurant,6,Pršuta i sir,completed,5,2026-01-13 20:30:00,Tuesday,January
2026-06-09,13,30,Rustika,2,Karađorđeva šnicla,completed,4,2026-06-09 13:30:00,Tuesday,June
2026-03-12,21,0,Stara Srpska Kuća,2,Pileći medaljoni,confirmed,4,2026-03-12 21:00:00,Thursday,March
2026-07-06,21,0,Zlatna Ribica,1,Grilovani list,confirmed,3,2026-07-06 21:00:00,Monday,July
2026-03-27,21,0,Rustika,4,Baklava,confirmed,5,2026-03-27 21:00:00,Friday,March
2026-01-28,13,30,Sonic Restaurant,4,Grilovani list,confirmed,2,2026-01-28 13:30:00,Wednesday,January
2026-03-07,12,30,Villa Nova,5,Baklava,confirmed,5,2026-03-07 12:30:00,Saturday,March
2026-06-19,21,0,Stara Srpska Kuća,1,Rižoto sa plodovima mora,completed,4,2026-06-19 21:00:00,Friday,June
2026-02-14,19,0,Stara Srpska Kuća,2,Šopska salata,completed,5,2026-02-14 19:00:00,Saturday,February
2026-03-03,21,30,Rustika,3,Pileći medaljoni,confirmed,4,2026-03-03 21:30:00,Tuesday,March
2026-07-04,12,0,Stara Srpska Kuća,2,Pršuta i sir,completed,3,2026-07-04 12:00:00,Saturday,July
2026-05-14,21,0,Villa Nova,1,Rižoto sa plodovima mora,confirmed,5,2026-05-14 21:00:00,Thursday,May
2026-01-28,19,0,Villa Nova,5,Šopska salata,cancelled,5,2026-01-28 19:00:00,Wednesday,January
2026-01-28,13,30,Stara Srpska Kuća,4,Rižoto sa plodovima mora,confirmed,4,2026-01-28 13:30:00,Wednesday,January
2026-04-18,13,30,Zlatna Ribica,3,Pileći medaljoni,completed,5,2026-04-18 13:30:00,Saturday,April
2026-02-13,18,30,Stara Srpska Kuća,6,Pileći medaljoni,cancelled,4,2026-02-13 18:30:00,Friday,February
2026-03-25,13,30,Sonic Restaurant,2,Baklava,cancelled,5,2026-03-25 13:30:00,Wednesday,March
2026-01-30,12,30,Stara Srpska Kuća,5,Punjene pečurke,confirmed,4,2026-01-30 12:30:00,Friday,January
2026-07-09,20,30,Stara Srpska Kuća,6,Rižoto sa plodovima mora,completed,5,2026-07-09 20:30:00,Thursday,July
2026-03-16,20,0,Sonic Restaurant,1,Punjene pečurke,confirmed,4,2026-03-16 20:00:00,Monday,March
2026-05-08,12,30,Sonic Restaurant,4,Pršuta i sir,confirmed,5,2026-05-08 12:30:00,Friday,May
2026-04-02,21,30,Villa Nova,5,Tiramisu,confirmed,4,2026-04-02 21:30:00,Thursday,April
2026-07-09,12,0,Rustika,2,Baklava,cancelled,5,2026-07-09 12:00:00,Thursday,July
2026-05-09,20,30,Trpeza Balkana,2,Pršuta i sir,cancelled,4,2026-05-09 20:30:00,Saturday,May
2026-05-01,20,30,Zlatna Ribica,2,Rižoto sa plodovima mora,confirmed,3,2026-05-01 20:30:00,Friday,May
2026-01-27,19,0,Rustika,4,Šopska salata,completed,5,2026-01-27 19:00:00,Tuesday,January
2026-07-09,13,0,Sonic Restaurant,6,Pršuta i sir,cancelled,2,2026-07-09 13:00:00,Thursday,July
2026-05-01,20,0,Trpeza Balkana,2,Vino kuće,confirmed,5,2026-05-01 20:00:00,Friday,May
2026-04-26,13,30,Villa Nova,4,Grilovani list,confirmed,5,2026-04-26 13:30:00,Sunday,April
2026-07-24,18,0,Sonic Restaurant,5,Karađorđeva šnicla,confirmed,4,2026-07-24 18:00:00,Friday,July
2026-01-03,20,30,Trpeza Balkana,4,Karađorđeva šnicla,completed,4,2026-01-03 20:30:00,Saturday,January
2026-04-13,21,30,Rustika,2,Pršuta i sir,completed,5,2026-04-13 21:30:00,Monday,April
2026-07-17,13,30,Rustika,4,Tiramisu,completed,4,2026-07-17 13:30:00,Friday,July
2026-07-19,19,30,Trpeza Balkana,2,Karađorđeva šnicla,confirmed,5,2026-07-19 19:30:00,Sunday,July
2026-06-04,21,0,Sonic Restaurant,2,Šopska salata,confirmed,5,2026-06-04 21:00:00,Thursday,June
2026-05-17,12,0,Sonic Restaurant,2,Punjene pečurke,confirmed,5,2026-05-17 12:00:00,Sunday,May
2026-03-03,13,30,Stara Srpska Kuća,1,Šopska salata,confirmed,3,2026-03-03 13:30:00,Tuesday,March
2026-06-14,13,0,Trpeza Balkana,1,Rižoto sa plodovima mora,confirmed,4,2026-06-14 13:00:00,Sunday,June
2026-02-20,19,30,Stara Srpska Kuća,4,Baklava,confirmed,3,2026-02-20 19:30:00,Friday,February
2026-06-21,20,30,Rustika,3,Karađorđeva šnicla,completed,3,2026-06-21 20:30:00,Sunday,June
2026-06-01,12,30,Stara Srpska Kuća,2,Šopska salata,confirmed,4,2026-06-01 12:30:00,Monday,June
2026-07-26,18,0,Stara Srpska Kuća,1,Grilovani list,completed,4,2026-07-26 18:00:00,Sunday,July
2026-02-28,19,30,Sonic Restaurant,4,Pileći medaljoni,cancelled,4,2026-02-28 19:30:00,Saturday,February
2026-04-28,21,30,Trpeza Balkana,1,Baklava,cancelled,4,2026-04-28 21:30:00,Tuesday,April
2026-06-09,13,0,Stara Srpska Kuća,6,Grilovani list,cancelled,5,2026-06-09 13:00:00,Tuesday,June
2026-04-06,13,0,Sonic Restaurant,2,Karađorđeva šnicla,completed,4,2026-04-06 13:00:00,Monday,April
2026-06-29,13,0,Sonic Restaurant,1,Punjene pečurke,confirmed,5,2026-06-29 13:00:00,Monday,June
2026-04-23,21,0,Stara Srpska Kuća,4,Pileći medaljoni,cancelled,5,2026-04-23 21:00:00,Thursday,April
2026-03-03,19,30,Stara Srpska Kuća,4,Pileći medaljoni,cancelled,3,2026-03-03 19:30:00,Tuesday,March
2026-07-05,19,0,Rustika,4,Grilovani list,completed,4,2026-07-05 19:00:00,Sunday,July
2026-02-21,12,30,Zlatna Ribica,3,Karađorđeva šnicla,completed,4,2026-02-21 12:30:00,Saturday,February
2026-01-12,18,0,Stara Srpska Kuća,2,Rižoto sa plodovima mora,completed,5,2026-01-12 18:00:00,Monday,January
2026-02-08,13,0,Rustika,2,Karađorđeva šnicla,confirmed,5,2026-02-08 13:00:00,Sunday,February
2026-05-10,13,0,Villa Nova,2,Palačinke,completed,4,2026-05-10 13:00:00,Sunday,May
2026-05-11,19,0,Zlatna Ribica,5,Karađorđeva šnicla,confirmed,5,2026-05-11 19:00:00,Monday,May
2026-04-23,21,0,Zlatna Ribica,4,Rižoto sa plodovima mora,confirmed,3,2026-04-23 21:00:00,Thursday,April
2026-04-11,21,0,Rustika,6,Karađorđeva šnicla,completed,4,2026-04-11 21:00:00,Saturday,April
2026-04-23,19,30,Villa Nova,1,Karađorđeva šnicla,completed,3,2026-04-23 19:30:00,Thursday,April
2026-07-03,19,0,Trpeza Balkana,4,Punjene pečurke,confirmed,5,2026-07-03 19:00:00,Friday,July
2026-03-22,18,0,Sonic Restaurant,2,Pršuta i sir,completed,5,2026-03-22 18:00:00,Sunday,March
2026-07-06,19,0,Zlatna Ribica,4,Karađorđeva šnicla,cancelled,3,2026-07-06 19:00:00,Monday,July
2026-04-23,18,0,Trpeza Balkana,1,Karađorđeva šnicla,completed,4,2026-04-23 18:00:00,Thursday,April
2026-01-02,19,30,Stara Srpska Kuća,3,Karađorđeva šnicla,confirmed,4,2026-01-02 19:30:00,Friday,January
2026-05-10,12,0,Sonic Restaurant,2,Šopska salata,cancelled,5,2026-05-10 12:00:00,Sunday,May
2026-02-23,21,0,Rustika,3,Pršuta i sir,confirmed,3,2026-02-23 21:00:00,Monday,February
2026-03-28,18,0,Zlatna Ribica,2,Karađorđeva šnicla,completed,5,2026-03-28 18:00:00,Saturday,March
2026-05-09,19,0,Sonic Restaurant,2,Pileći medaljoni,confirmed,5,2026-05-09 19:00:00,Saturday,May
2026-05-27,19,30,Trpeza Balkana,2,Šopska salata,confirmed,4,2026-05-27 19:30:00,Wednesday,May
2026-05-06,18,0,Stara Srpska Kuća,2,Palačinke,completed,4,2026-05-06 18:00:00,Wednesday,May
